Samples.ID,Sample.Type,Bed.number,Hand.msd,Wet.dry,Top.bottom,Date.collected,Date.processed,Weight.g.,PBS.added.ml.,Log.APC.,Log.Coli.,Log.E.coli.,Opportunity,Zone
MT6,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,31.5,32.2,7.44,6.836589773,NA,Original,Edge Creek
MT9,Aggregative Swab,5,MSD,WET,Top,6/27/2022,6/29/2022,31.46,32.24,6.32,6.463505893,4.26760624,Original,Center
MT18,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,33.84,29.86,5.681241237,5.88667959,NA,Original,Edge Creek
MT36,Aggregative Swab,Edge Creek,HAND,WET,Top,6/27/2022,6/29/2022,32.88,30.82,6.47,6.529039054,NA,Original,Edge Creek
MT8,Aggregative Swab,5,MSD,WET,Top,6/27/2022,6/29/2022,29.29,34.41,6.945230489,6.253884982,3.633468456,Original,Center
MT3,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.26,41.44,4.99,1.176091259,NA,Original,Center
MT4,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.74,40.96,5.247609612,1,NA,Original,Center
MT5,Aggregative Swab,6,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.8,41.9,5.052294502,0.698970004,NA,Original,Center
MT26,Aggregative Swab,1,MSD,WET,Bottom,6/27/2022,6/29/2022,31.62,32.08,6.255272505,5.4,NA,Original,Center
MT2,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,22.2,41.5,5.269469299,2.301029996,NA,Original,Center
MT15,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.97,40.73,4.36,2.267171728,NA,Original,Edge Creek
MT35,Aggregative Swab,Edge Creek,HAND,WET,Top,6/27/2022,6/29/2022,34.06,29.64,6.544068044,6.519140176,2.462397998,Original,Edge Creek
MT22,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,23.78,39.92,5.397940009,3.838849091,NA,Original,Edge Creek
MT20,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.78,40.92,5.176091259,4.727128581,NA,Original,Edge Creek
MT17,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.27,41.43,5.010516119,2.397940009,NA,Original,Edge Creek
MT21,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.83,41.87,5.462397998,1.875061263,NA,Original,Edge Creek
MT19,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,33.58,30.12,8.431959096,7.622425156,1.977723605,Repeat,Edge Creek
MT29,Aggregative Swab,2,HAND,WET,Top,6/27/2022,6/29/2022,30.22,33.48,8.774405842,8.733184105,NA,Repeat,Center
MT25,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.91,31.79,8.303035978,8.243038049,NA,Repeat,Edge Creek
