Sampling Day,Sample Type,Area,Field Loc,Class,Strata,Test,Sample ID,Best Estimate
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 6,Coliforms,UI81,1.65
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 6,APC,UI79,4.018369731
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 6,APC,UI81,4.020837605
Preharvest D1,Grab HR,Edge,Edge,Sides,St 1,Coliforms,UI130,2.930439595
Preharvest D1,Grab HR,Edge,Edge,Sides,St 1,Coliforms,UI126,2.201397124
Preharvest D1,Grab HR,Edge,Edge,Sides,St 1,APC,UI130,4.621669675
Preharvest D1,Grab HR,Edge,Edge,Sides,St 1,APC,UI126,4.339848783
Preharvest D1,Grab HR,Edge,Edge,Sides,St 2,Coliforms,UI133,0.48
Preharvest D1,Grab HR,Edge,Edge,Sides,St 2,Coliforms,UI129,3.686636269
Preharvest D1,Grab HR,Edge,Edge,Sides,St 2,APC,UI133,4.541953474
Preharvest D1,Grab HR,Edge,Edge,Sides,St 2,APC,UI129,4.580582877
Preharvest D1,Grab HR,Edge,Edge,Sides,St 3,Coliforms,UI131,1.07
Preharvest D1,Grab HR,Edge,Edge,Sides,St 3,Coliforms,UI127,1.32
Preharvest D1,Grab HR,Edge,Edge,Sides,St 3,APC,UI131,4.210408765
Preharvest D1,Grab HR,Edge,Edge,Sides,St 3,APC,UI127,4.250237229
Preharvest D1,Grab HR,Edge,Edge,Sides,St 4,Coliforms,UI125,0.95
Preharvest D1,Grab HR,Edge,Edge,Sides,St 4,Coliforms,UI132,0.48
Preharvest D1,Grab HR,Edge,Edge,Sides,St 4,APC,UI125,3.768615473
Preharvest D1,Grab HR,Edge,Edge,Sides,St 4,APC,UI132,4.095974407
Preharvest D1,Grab HR,Edge,Edge,Sides,St 5,Coliforms,UI124,2.340444115
Preharvest D1,Grab HR,Edge,Edge,Sides,St 5,Coliforms,UI123,2.635483747
Preharvest D1,Grab HR,Edge,Edge,Sides,St 5,APC,UI124,4.076378851
Preharvest D1,Grab HR,Edge,Edge,Sides,St 5,APC,UI123,4.348041773
Preharvest D1,Grab HR,Edge,Edge,Sides,St 6,Coliforms,UI134,1.52
Preharvest D1,Grab HR,Edge,Edge,Sides,St 6,Coliforms,UI122,2.604226053
Preharvest D1,Grab HR,Edge,Edge,Sides,St 6,APC,UI134,4.426014699
Preharvest D1,Grab HR,Edge,Edge,Sides,St 6,APC,UI122,4.314618017
Preharvest D1,Swab,Edge,Edge,Bottom,,Coliforms,UI12,1.08
Preharvest D1,Swab,Edge,Edge,Sides,,Coliforms,UI11,1.07
Preharvest D1,Grab,Edge,Edge,Bottom,,Coliforms,UI164,0.78
Preharvest D1,Grab,Edge,Edge,Sides,,Coliforms,UI161,2.3
Preharvest D1,Swab,Edge,Edge,Bottom,,APC,UI12,6.079822211
Preharvest D1,Swab,Edge,Edge,Sides,,APC,UI11,5.640060034
Preharvest D1,Grab,Edge,Edge,Bottom,,APC,UI164,4.434452472
Preharvest D1,Grab,Edge,Edge,Sides,,APC,UI161,4.300767768
Preharvest D1,Swab,Center,Bed 7,Sides,Inner ,APC,UI3,4.789101396
Preharvest D1,Swab,Center,Bed 7,Bottom,Inner ,APC,UI4,5.541646242
Preharvest D1,Swab,Center,Bed 6,Sides,Inner ,APC,UI5 ,4.875892767
Preharvest D1,Swab,Center,Bed 6,Sides,Inner ,APC,UI5 ,5.663603593
Preharvest D1,Swab,Center,Bed 6,Bottom,Inner ,APC,UI6,5.507222912
Preharvest D1,Swab,Center,Bed 6,Bottom,Inner ,APC,UI6,6.052258299
Preharvest D1,Grab,Center,Bed 7,Bottom,Inner ,APC,UI45,4.717820919
Preharvest D1,Grab,Center,Bed 7,Bottom,Inner ,APC,UI45,4.84298347
Preharvest D1,Grab,Center,Bed 7,Sides,Inner ,APC,UI46,4.200521741
Preharvest D1,Grab,Center,Bed 7,Sides,Inner ,APC,UI46,4.551937695
Preharvest D1,Grab,Center,Bed 6,Bottom,Inner ,APC,UI86,4.465872795
Preharvest D1,Grab,Center,Bed 6,Sides,Inner ,APC,UI87,4.439647685
Preharvest D1,Swab,Center,Bed 7,Sides,Inner ,Coliforms,UI3,1.085
Preharvest D1,Swab,Center,Bed 7,Bottom,Inner ,Coliforms,UI4,1.082
Preharvest D1,Swab,Center,Bed 6,Sides,Inner ,Coliforms,UI5 ,1.09
Preharvest D1,Swab,Center,Bed 6,Bottom,Inner ,Coliforms,UI6,1.082
Preharvest D1,Grab,Center,Bed 7,Bottom,Inner ,Coliforms,UI45,4.144574208
Preharvest D1,Grab,Center,Bed 7,Sides,Inner ,Coliforms,UI46,2.421603927
Preharvest D1,Grab,Center,Bed 6,Bottom,Inner ,Coliforms,UI86,0.954242509
Preharvest D1,Grab,Center,Bed 6,Sides,Inner ,Coliforms,UI87,0.477121255
Preharvest D2,Swab,Center,Bed 5,Sides,Inner ,APC,UI340,5.527308899
Preharvest D2,Swab,Edge,Edge,Bottom,Inner ,APC,UI347,6.278889727
Preharvest D2,Swab,Center,Bed 8,Bottom,Inner ,APC,UI343,6.193878427
Preharvest D2,Swab,Center,Bed 8,Sides,Inner ,APC,UI348,4.707543805
Preharvest D2,Swab,Center,Bed 5,Bottom,Inner ,APC,UI339,5.841713802
Preharvest D2,Swab,Center,Bed 1,Bottom,Inner ,APC,UI344,6.526236899
Preharvest D2,Swab,Bed 1,Bed 1,Bottom,Outer,APC,UI345,6.011113106
Preharvest D2,Swab,Edge,Edge,Sides,Inner ,APC,UI346,5.994229811
Preharvest D2,Swab,Bed 1,Bed 1,Sides,Outer,APC,UI349,5.139136199
Preharvest D2,Swab,Center,Bed 1,Sides,Inner ,APC,UI350,6.620137471
Preharvest D2,Grab,Center,Bed 1,Sides,Inner ,APC,UI405,5.075802354
Preharvest D2,Grab,Center,Bed 1,Bottom,Inner ,APC,UI406,4.476686743
Preharvest D2,Grab,Bed 1,Bed 1,Sides,Outer,APC,UI407,4.137030905
Preharvest D2,Grab,Bed 1,Bed 1,Bottom,Outer,APC,UI408,4.777716739
Preharvest D2,Grab,Edge,Edge,Sides,Inner ,APC,UI409,4.771807879
Preharvest D2,Grab,Edge,Edge,Bottom,Inner ,APC,UI410,4.413634997
Preharvest D2,Grab,Center,Bed 8,Sides,Inner ,APC,UI411,4.589726256
Preharvest D2,Grab,Center,Bed 8,Bottom,Inner ,APC,UI412,4.045287944
Preharvest D2,Grab,Center,Bed 5,Bottom,Inner ,APC,UI415,4.580582877
Preharvest D2,Grab,Center,Bed 5,Sides,Inner ,APC,UI417,4.721398376
Preharvest D2,Swab,Center,Bed 3,Sides,Inner ,APC,UI337,5.112410256
Preharvest D2,Swab,Center,Bed 3,Bottom,Inner ,APC,UI338,5.102818581
Preharvest D2,Swab,Center,Bed 7,Sides,Inner ,APC,UI341,5.356578559
Preharvest D2,Swab,Center,Bed 7,Bottom,Inner ,APC,UI342,6.129673205
Preharvest D2,Grab HR,Center,Bed 8,Sides,Inner ,APC,UI379,4.783546282
Preharvest D2,Grab HR,Center,Bed 8,Sides,Inner ,APC,UI380,4.740993932
Preharvest D2,Grab,Center,Bed 7,Sides,Inner ,APC,UI413,4.561697533
Preharvest D2,Grab,Center,Bed 7,Bottom,Inner ,APC,UI414,4.693814854
Preharvest D2,Grab,Center,Bed 3,Sides,Inner ,APC,UI416,4.51054501
Preharvest D2,Grab,Center,Bed 3,Bottom,Inner ,APC,UI418,4.890756252
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 2,APC,UI419,4.370883017
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 3,APC,UI420,4.09611241
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 4,APC,UI421,4.399846713
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 5,APC,UI422,4.370883017
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 6,APC,UI423,4.072627636
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 6 ,APC,UI424,4.18723862
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 5,APC,UI425,4.288696261
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 4,APC,UI426,4.234415109
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 2,APC,UI427,4.019478353
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 3,APC,UI428,4.323458367
Preharvest D2,Grab HR,Edge,Edge,Sides,St 6,APC,UI429,3.829303773
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1 ,APC,UI430,4.000442932
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,UI431,4.163370428
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,UI432,4.205671675
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,UI433,4.306425028
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,UI434,4.339848783
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 6,APC,UI435,4.899711095
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 6 ,APC,UI436,4.155639634
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,UI437,4.426998959
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,UI438,4.087781418
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,UI439,4.180057446
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,UI440,4.765817515
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1,APC,UI441,4.890756252
Preharvest D2,Grab HR,Edge,Edge,Sides,St 5,APC,UI442,4.580582877
Preharvest D2,Grab HR,Edge,Edge,Sides,St 5,APC,UI443,4.323458367
Preharvest D2,Grab HR,Edge,Edge,Sides,St 4,APC,UI444,4.370883017
Preharvest D2,Grab HR,Edge,Edge,Sides,St 3,APC,UI445,4.881612872
Preharvest D2,Grab HR,Edge,Edge,Sides,St 2,APC,UI446,4.46478752
Preharvest D2,Grab HR,Edge,Edge,Sides,St 1,APC,UI447,4.452553063
Preharvest D2,Grab HR,Edge,Edge,Sides,St 1 ,APC,UI448,4.439963936
Preharvest D2,Grab HR,Edge,Edge,Sides,St 2,APC,UI449,4.521268876
Preharvest D2,Grab HR,Edge,Edge,Sides,St 3,APC,UI450,4.413634997
Preharvest D2,Grab HR,Edge,Edge,Sides,St 4,APC,UI451,4.46478752
Preharvest D2,Grab HR,Edge,Edge,Sides,St 6,APC,UI452,4.385606274
Preharvest D2,Swab,Center,Bed 5,Sides,Inner ,Coliforms,UI340,1.613782006
Preharvest D2,Swab,Edge,Edge,Bottom,Inner ,Coliforms,UI347,1.14
Preharvest D2,Swab,Center,Bed 8,Bottom,Inner ,Coliforms,UI343,1.16
Preharvest D2,Swab,Center,Bed 8,Sides,Inner ,Coliforms,UI348,2.529085391
Preharvest D2,Swab,Center,Bed 5,Bottom,Inner ,Coliforms,UI339,1.11
Preharvest D2,Swab,Center,Bed 1,Bottom,Inner ,Coliforms,UI344,1.4
Preharvest D2,Swab,Bed 1,Bed 1,Bottom,Outer,Coliforms,UI345,1.14
Preharvest D2,Swab,Edge,Edge,Sides,Inner ,Coliforms,UI346,2.182920441
Preharvest D2,Swab,Bed 1,Bed 1,Sides,Outer,Coliforms,UI349,1.2
Preharvest D2,Swab,Center,Bed 1,Sides,Inner ,Coliforms,UI350,1.57
Preharvest D2,Grab,Center,Bed 1,Sides,Inner ,Coliforms,UI405,3.079181246
Preharvest D2,Grab,Center,Bed 1,Bottom,Inner ,Coliforms,UI406,0.48
Preharvest D2,Grab,Bed 1,Bed 1,Sides,Outer,Coliforms,UI407,4.969565674
Preharvest D2,Grab,Bed 1,Bed 1,Bottom,Outer,Coliforms,UI408,3.694605199
Preharvest D2,Grab,Edge,Edge,Sides,Inner ,Coliforms,UI409,3.563481085
Preharvest D2,Grab,Edge,Edge,Bottom,Inner ,Coliforms,UI410,3.100370545
Preharvest D2,Grab,Center,Bed 8,Sides,Inner ,Coliforms,UI411,3.5774918
Preharvest D2,Grab,Center,Bed 8,Bottom,Inner ,Coliforms,UI412,1.079181246
Preharvest D2,Grab,Center,Bed 5,Bottom,Inner ,Coliforms,UI415,1.875061263
Preharvest D2,Grab,Center,Bed 5,Sides,Inner ,Coliforms,UI417,3.23299611
Preharvest D2,Swab,Center,Bed 3,Sides,Inner ,Coliforms,UI337,0.721082202
Preharvest D2,Swab,Center,Bed 3,Bottom,Inner ,Coliforms,UI338,1.193407619
Preharvest D2,Swab,Center,Bed 7,Sides,Inner ,Coliforms,UI341,0.985486143
Preharvest D2,Swab,Center,Bed 7,Bottom,Inner ,Coliforms,UI342,1.188045073
Preharvest D2,Grab HR,Center,Bed 8,Sides,Inner ,Coliforms,UI379,4.126439929
Preharvest D2,Grab HR,Center,Bed 8,Sides,Inner ,Coliforms,UI380,4.547910076
Preharvest D2,Grab,Center,Bed 7,Sides,Inner ,Coliforms,UI413,0.477121255
Preharvest D2,Grab,Center,Bed 7,Bottom,Inner ,Coliforms,UI414,2.857332496
Preharvest D2,Grab,Center,Bed 3,Sides,Inner ,Coliforms,UI416,1.079181246
Preharvest D2,Grab,Center,Bed 3,Bottom,Inner ,Coliforms,UI418,2.838849091
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 2,Coliforms,UI419,1.681241237
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 3,Coliforms,UI420,1.322219295
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 4,Coliforms,UI421,2.545307116
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 5,Coliforms,UI422,0.48
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 6,Coliforms,UI423,1.51851394
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 6 ,Coliforms,UI424,1.079181246
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 5,Coliforms,UI425,2.11058971
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 4,Coliforms,UI426,1.819543936
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 2,Coliforms,UI427,2.686636269
Preharvest D2,Grab HR,Center,Bed 8,Sides,St 3,Coliforms,UI428,2.584331224
Preharvest D2,Grab HR,Edge,Edge,Sides,St 6,Coliforms,UI429,3.167317335
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1 ,Coliforms,UI430,1.939519253
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,UI431,2.545307116
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,UI432,1.322219295
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,UI433,1.875061263
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 5,Coliforms,UI434,1.431363764
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 6,Coliforms,UI435,1.079181246
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 6 ,Coliforms,UI436,1.255272505
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 5,Coliforms,UI437,1.176091259
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,UI438,2.26245109
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,UI439,1.079181246
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,UI440,2.209515015
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1,Coliforms,UI441,2.079181246
Preharvest D2,Grab HR,Edge,Edge,Sides,St 5,Coliforms,UI442,1.954242509
Preharvest D2,Grab HR,Edge,Edge,Sides,St 5,Coliforms,UI443,0.954242509
Preharvest D2,Grab HR,Edge,Edge,Sides,St 4,Coliforms,UI444,1.73239376
Preharvest D2,Grab HR,Edge,Edge,Sides,St 3,Coliforms,UI445,1.322219295
Preharvest D2,Grab HR,Edge,Edge,Sides,St 2,Coliforms,UI446,0.954242509
Preharvest D2,Grab HR,Edge,Edge,Sides,St 1,Coliforms,UI447,2.537819095
Preharvest D2,Grab HR,Edge,Edge,Sides,St 1 ,Coliforms,UI448,0.48
Preharvest D2,Grab HR,Edge,Edge,Sides,St 2,Coliforms,UI449,1.838849091
Preharvest D2,Grab HR,Edge,Edge,Sides,St 3,Coliforms,UI450,1.51851394
Preharvest D2,Grab HR,Edge,Edge,Sides,St 4,Coliforms,UI451,2.803457116
Preharvest D2,Grab HR,Edge,Edge,Sides,St 6,Coliforms,UI452,0.48
