Samples.ID,Sample.Type,Bed.number,Hand.msd,Wet.dry,Top.bottom,Date.collected,Date.processed,Weight.g.,PBS.added.ml.,Best. Estimate,Test,Opportunity,Zone
Tis6,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,292.38,272.38,5.079181246,APC,Original,Edge Creek
Tis30,Produce Sample,5,NA,NA,Bottom,6/27/2022,6/29/2022,236.2,216.2,5.079181246,APC,Original,Center
Tis29,Produce Sample,5,NA,NA,Top,6/27/2022,6/29/2022,326.5,306.5,5.477121255,APC,Original,Center
Tis5,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,380.6,360.6,5.51851394,APC,Original,Edge Creek
MT23,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.11,32.59,7.08,APC,Original,Edge Creek
MT16,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,16.9,46.8,5.006131318,APC,Original,Edge Creek
MT10,Aggregative Swab,4,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.64,32.06,7.02,APC,Original,Center
MT7,Aggregative Swab,6,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,30.84,32.86,6.45,APC,Original,Center
MT121,Aggregative Swab,4,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,38.95,33.55,6.045322979,APC,Original,Center
MT14,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.83,31.87,5.040617851,APC,Original,Edge Creek
MT1,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,20.4,43.3,4.933758807,APC,Original,Center
MT13,Aggregative Swab,6,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.39,32.31,6.16,APC,Original,Center
MT12,Aggregative Swab,6,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,28.73,34.97,5.748188027,APC,Original,Center
MT24,Aggregative Swab,1,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,24.2,39.5,6.755874856,APC,Original,Center
MT27,Aggregative Swab,1,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.62,31.08,6.482950798,APC,Original,Center
MT28,Aggregative Swab,2,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,34.45,29.25,5.826074803,APC,Original,Center
MT30,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.57,31.13,6.301029996,APC,Original,Edge Creek
MT6,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.5,32.2,7.44,APC,Original,Edge Creek
MT9,Aggregative Swab,5,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.46,32.24,6.32,APC,Original,Center
MT18,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,33.84,29.86,5.681241237,APC,Original,Edge Creek
MT36,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.88,30.82,6.47,APC,Original,Edge Creek
MT8,Aggregative Swab,5,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,29.29,34.41,6.945230489,APC,Original,Center
MT3,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.26,41.44,4.99,APC,Original,Center
MT4,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.74,40.96,5.247609612,APC,Original,Center
MT5,Aggregative Swab,6,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.8,41.9,5.052294502,APC,Original,Center
MT26,Aggregative Swab,1,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.62,32.08,6.255272505,APC,Original,Center
MT2,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,22.2,41.5,5.269469299,APC,Original,Center
MT15,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.97,40.73,4.36,APC,Original,Edge Creek
MT35,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,34.06,29.64,6.544068044,APC,Original,Edge Creek
MT22,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,23.78,39.92,5.397940009,APC,Original,Edge Creek
MT20,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.78,40.92,5.176091259,APC,Original,Edge Creek
MT17,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.27,41.43,5.010516119,APC,Original,Edge Creek
MT21,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.83,41.87,5.462397998,APC,Original,Edge Creek
MT19,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,33.58,30.12,8.431959096,APC,Repeat,Edge Creek
MT29,Aggregative Swab,2,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,30.22,33.48,8.774405842,APC,Repeat,Center
MT25,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.91,31.79,8.303035978,APC,Repeat,Edge Creek
Tis8,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,214.44,194.44,6.122875576,Coliforms,Original,Edge Creek
Tis59,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,439.15,419.15,5.826288443,Coliforms,Original,Center
Tis4,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,811.18,791.18,4.255272505,Coliforms,Original,Edge Creek
Tis22,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,399.95,379.95,4.62324929,Coliforms,Original,Center
Tis25,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,417.01,397.01,4.079181246,Coliforms,Original,Center
Tis60,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,316.02,296.02,4.079181246,Coliforms,Original,Center
Tis3,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,480.96,460.96,5.068185862,Coliforms,Original,Edge Creek
Tis10,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,495.22,475.22,4.556302501,Coliforms,Original,Edge Creek
Tis7,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,412.84,392.84,4.307496038,Coliforms,Original,Edge Creek
Tis32,Produce Sample,6,NA,NA,Bottom,6/27/2022,6/29/2022,503.01,483.01,5.56,Coliforms,Original,Center
Tis31,Produce Sample,6,NA,NA,Top,6/27/2022,6/29/2022,492.49,472.49,4.792391689,Coliforms,Original,Center
Tis27,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,197.3,177.3,6.130562405,Coliforms,Original,Center
Tis11,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,260.43,240.43,6.17,Coliforms,Original,Edge Creek
Tis2,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,199.15,179.15,4.071882007,Coliforms,Original,Edge Creek
Tis28,Produce Sample,4,NA,NA,Bottom,6/27/2022,6/29/2022,467.78,447.78,4.653212514,Coliforms,Original,Center
Tis24,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,357.85,337.85,5.123851641,Coliforms,Original,Center
Tis26,Produce Sample,1,NA,NA,Bottom,6/27/2022,6/29/2022,334.74,314.74,4.173186268,Coliforms,Original,Center
Tis9,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,367.51,347.51,5.893201489,Coliforms,Original,Edge Creek
Tis6,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,292.38,272.38,4.173186268,Coliforms,Original,Edge Creek
Tis30,Produce Sample,5,NA,NA,Bottom,6/27/2022,6/29/2022,236.2,216.2,3.716003344,Coliforms,Original,Center
Tis29,Produce Sample,5,NA,NA,Top,6/27/2022,6/29/2022,326.5,306.5,4.77815125,Coliforms,Original,Center
Tis5,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,380.6,360.6,5.833350297,Coliforms,Original,Edge Creek
MT23,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.11,32.59,7.03,Coliforms,Original,Edge Creek
MT16,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,16.9,46.8,1,Coliforms,Original,Edge Creek
MT10,Aggregative Swab,4,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.64,32.06,6.265429321,Coliforms,Original,Center
MT7,Aggregative Swab,6,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,30.84,32.86,6.731299961,Coliforms,Original,Center
MT121,Aggregative Swab,4,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,38.95,33.55,6.078838066,Coliforms,Original,Center
MT14,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.83,31.87,4.374458913,Coliforms,Original,Edge Creek
MT1,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,20.4,43.3,1,Coliforms,Original,Center
MT13,Aggregative Swab,6,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.39,32.31,6.389822118,Coliforms,Original,Center
MT12,Aggregative Swab,6,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,28.73,34.97,5.51435095,Coliforms,Original,Center
MT24,Aggregative Swab,1,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,24.2,39.5,6.750479824,Coliforms,Original,Center
MT27,Aggregative Swab,1,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.62,31.08,6.362775592,Coliforms,Original,Center
MT28,Aggregative Swab,2,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,34.45,29.25,5.916266793,Coliforms,Original,Center
MT30,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.57,31.13,6.204622348,Coliforms,Original,Edge Creek
MT6,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.5,32.2,6.836589773,Coliforms,Original,Edge Creek
MT9,Aggregative Swab,5,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.46,32.24,6.463505893,Coliforms,Original,Center
MT18,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,33.84,29.86,5.88667959,Coliforms,Original,Edge Creek
MT36,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.88,30.82,6.529039054,Coliforms,Original,Edge Creek
MT8,Aggregative Swab,5,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,29.29,34.41,6.253884982,Coliforms,Original,Center
MT3,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.26,41.44,1.176091259,Coliforms,Original,Center
MT4,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.74,40.96,1,Coliforms,Original,Center
MT5,Aggregative Swab,6,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.8,41.9,0.698970004,Coliforms,Original,Center
MT26,Aggregative Swab,1,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.62,32.08,5.4,Coliforms,Original,Center
MT2,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,22.2,41.5,2.301029996,Coliforms,Original,Center
MT15,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.97,40.73,2.267171728,Coliforms,Original,Edge Creek
MT35,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,34.06,29.64,6.519140176,Coliforms,Original,Edge Creek
MT22,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,23.78,39.92,3.838849091,Coliforms,Original,Edge Creek
MT20,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.78,40.92,4.727128581,Coliforms,Original,Edge Creek
MT17,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.27,41.43,2.397940009,Coliforms,Original,Edge Creek
MT21,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.83,41.87,1.875061263,Coliforms,Original,Edge Creek
MT19,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,33.58,30.12,7.622425156,Coliforms,Repeat,Edge Creek
MT29,Aggregative Swab,2,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,30.22,33.48,8.733184105,Coliforms,Repeat,Center
MT25,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.91,31.79,8.243038049,Coliforms,Repeat,Edge Creek
Tis8,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,214.44,194.44,2.531478917,E.coli,Original,Edge Creek
Tis59,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,439.15,419.15,NA,E.coli,Original,Center
Tis4,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,811.18,791.18,NA,E.coli,Original,Edge Creek
Tis22,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,399.95,379.95,3.146128036,E.coli,Original,Center
Tis25,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,417.01,397.01,2.301029996,E.coli,Original,Center
Tis60,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,316.02,296.02,NA,E.coli,Original,Center
Tis3,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,480.96,460.96,NA,E.coli,Original,Edge Creek
Tis10,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,495.22,475.22,2.903089987,E.coli,Original,Edge Creek
Tis7,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,412.84,392.84,NA,E.coli,Original,Edge Creek
Tis32,Produce Sample,6,NA,NA,Bottom,6/27/2022,6/29/2022,503.01,483.01,NA,E.coli,Original,Center
Tis31,Produce Sample,6,NA,NA,Top,6/27/2022,6/29/2022,492.49,472.49,NA,E.coli,Original,Center
Tis27,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,197.3,177.3,NA,E.coli,Original,Center
Tis11,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,260.43,240.43,3.3,E.coli,Original,Edge Creek
Tis2,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,199.15,179.15,1.342422681,E.coli,Original,Edge Creek
Tis28,Produce Sample,4,NA,NA,Bottom,6/27/2022,6/29/2022,467.78,447.78,NA,E.coli,Original,Center
Tis24,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,357.85,337.85,NA,E.coli,Original,Center
Tis26,Produce Sample,1,NA,NA,Bottom,6/27/2022,6/29/2022,334.74,314.74,2.602059991,E.coli,Original,Center
Tis9,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,367.51,347.51,NA,E.coli,Original,Edge Creek
Tis6,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,292.38,272.38,2.698970004,E.coli,Original,Edge Creek
Tis30,Produce Sample,5,NA,NA,Bottom,6/27/2022,6/29/2022,236.2,216.2,NA,E.coli,Original,Center
Tis29,Produce Sample,5,NA,NA,Top,6/27/2022,6/29/2022,326.5,306.5,1.505149978,E.coli,Original,Center
Tis5,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,380.6,360.6,NA,E.coli,Original,Edge Creek
MT23,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.11,32.59,NA,E.coli,Original,Edge Creek
MT16,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,16.9,46.8,NA,E.coli,Original,Edge Creek
MT10,Aggregative Swab,4,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.64,32.06,NA,E.coli,Original,Center
MT7,Aggregative Swab,6,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,30.84,32.86,NA,E.coli,Original,Center
MT121,Aggregative Swab,4,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,38.95,33.55,3.806179974,E.coli,Original,Center
MT14,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.83,31.87,NA,E.coli,Original,Edge Creek
MT1,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,20.4,43.3,NA,E.coli,Original,Center
MT13,Aggregative Swab,6,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.39,32.31,NA,E.coli,Original,Center
MT12,Aggregative Swab,6,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,28.73,34.97,NA,E.coli,Original,Center
MT24,Aggregative Swab,1,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,24.2,39.5,NA,E.coli,Original,Center
MT27,Aggregative Swab,1,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.62,31.08,3.230448921,E.coli,Original,Center
MT28,Aggregative Swab,2,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,34.45,29.25,NA,E.coli,Original,Center
MT30,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.57,31.13,NA,E.coli,Original,Edge Creek
MT6,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.5,32.2,NA,E.coli,Original,Edge Creek
MT9,Aggregative Swab,5,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.46,32.24,4.26760624,E.coli,Original,Center
MT18,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,33.84,29.86,NA,E.coli,Original,Edge Creek
MT36,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,32.88,30.82,NA,E.coli,Original,Edge Creek
MT8,Aggregative Swab,5,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,29.29,34.41,3.633468456,E.coli,Original,Center
MT3,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.26,41.44,NA,E.coli,Original,Center
MT4,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.74,40.96,NA,E.coli,Original,Center
MT5,Aggregative Swab,6,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.8,41.9,NA,E.coli,Original,Center
MT26,Aggregative Swab,1,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,31.62,32.08,NA,E.coli,Original,Center
MT2,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,22.2,41.5,NA,E.coli,Original,Center
MT15,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.97,40.73,NA,E.coli,Original,Edge Creek
MT35,Aggregative Swab,Edge Creek,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,34.06,29.64,2.462397998,E.coli,Original,Edge Creek
MT22,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,23.78,39.92,NA,E.coli,Original,Edge Creek
MT20,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.78,40.92,NA,E.coli,Original,Edge Creek
MT17,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.27,41.43,NA,E.coli,Original,Edge Creek
MT21,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.83,41.87,NA,E.coli,Original,Edge Creek
MT19,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Bottom,6/27/2022,6/29/2022,33.58,30.12,1.977723605,E.coli,Repeat,Edge Creek
MT29,Aggregative Swab,2,HAND,PREHYDRATED,Top,6/27/2022,6/29/2022,30.22,33.48,NA,E.coli,Repeat,Center
MT25,Aggregative Swab,Edge Creek,MSD,PREHYDRATED,Top,6/27/2022,6/29/2022,31.91,31.79,NA,E.coli,Repeat,Edge Creek
